transaction_id,customer_id,transaction_date,sender_id,receiver_id,transaction_amount,avg_amount_30d,amount_vs_avg_ratio,transaction_velocity_1h,transaction_velocity_24h,merchant_name,merchant_risk_score,customer_age_days,is_international,is_new_device,is_new_merchant,hour_of_day,day_of_week,device_type,auth_method,device_risk_score,ip_risk_score,distance_from_home_km,nb_cards_last_30d,failed_auth_last_24h,chargeback_rate_6m,country_origin,currency,fraud_type,is_fraud
TXN000000,CUST1663,2023-01-01 00:00:00,6286,608,21.19,22.72,0.9322,1,2,Decathlon,0.393,28,0,1,1,9,0,tablet,3DS,0.0165,0.1846,20.3,1,1,0.0607,PL,EUR,none,0
TXN000001,CUST2998,2023-01-01 00:00:40,592,1381,19.64,17.09,1.1485,2,8,Uber,0.296,337,0,0,0,15,5,tablet,signature,0.0972,0.1625,16.9,1,2,0.0454,CN,USD,none,0
TXN000002,CUST8994,2023-01-01 00:01:20,5872,2909,10.06,11.04,0.9104,2,4,H&M,0.202,12,0,0,0,16,1,desktop_mac,3DS,0.0662,0.118,15.7,1,0,0.0431,PT,EUR,none,0
TXN000003,CUST2495,2023-01-01 00:02:00,7953,3179,7.2,6.0,1.198,2,5,IKEA,0.145,186,0,0,0,9,0,mobile_ios,3DS,0.1539,0.2486,1.3,2,0,0.0022,CN,EUR,none,0
TXN000004,CUST4304,2023-01-01 00:02:40,6164,4118,71.86,61.44,1.1694,1,2,Spotify,0.39,1744,0,0,1,16,1,tablet,3DS,0.0866,0.2657,11.2,1,0,0.0632,GB,EUR,none,0
TXN000005,CUST4763,2023-01-01 00:03:20,3955,3037,41.43,35.48,1.1674,2,3,IKEA,0.145,312,0,0,0,14,3,desktop_windows,PIN,0.1665,0.0049,1.0,3,0,0.0245,CH,EUR,none,0
TXN000006,CUST6232,2023-01-01 00:04:00,12,4994,103.85,96.11,1.0804,0,5,PayPal,0.41,1093,0,0,0,21,5,mobile_android,3DS,0.2669,0.0525,16.7,2,0,0.0702,GB,USD,none,0
TXN000007,CUST2853,2023-01-01 00:04:40,6089,24,535.69,22.42,6.6047,7,8,H&M,0.202,430,1,1,0,1,6,desktop_mac,no_auth,0.9385,0.6187,1526.3,1,4,0.2558,NG,CHF,account_takeover,1
TXN000008,CUST7585,2023-01-01 00:05:20,6780,4087,145.16,170.52,0.8512,3,4,Amazon,0.251,32,0,0,0,11,0,mobile_android,PIN,0.0738,0.3144,0.7,1,0,0.019,US,USD,none,0
TXN000009,CUST2291,2023-01-01 00:06:00,122,4030,36.59,43.58,0.8394,0,3,IKEA,0.145,253,0,1,0,21,0,mobile_android,PIN,0.0571,0.1201,10.5,3,0,0.0201,IT,EUR,none,0
